Timestamp,Sensor_id_s,ax,ay,az,mx,my,mz,gx,gy,gz,Sensor_id_e
1644541139.561851,1,-6.05,7.51,0.64,0.00,0.00,0.00,0.01,-0.05,0.03,1
1644541139.5628514,2,7.09,0.71,6.87,0.00,0.00,0.00,-0.01,0.00,0.01,2
1644541139.5628514,1,-6.05,7.51,0.64,0.00,0.00,0.00,0.01,-0.05,0.03,1
1644541139.5638516,2,7.09,0.71,6.87,0.00,0.00,0.00,-0.01,0.00,0.01,2
1644541139.5648518,1,-6.01,7.54,0.72,0.00,0.00,0.00,0.01,-0.05,0.03,1
1644541139.5648518,2,7.06,0.65,6.94,0.00,0.00,0.00,-0.02,0.02,0.02,2
1644541139.5658522,1,-6.01,7.54,0.72,0.00,0.00,0.00,0.02,-0.04,0.03,1
1644541139.566852,2,7.00,0.62,6.98,0.00,0.00,0.00,-0.02,0.02,0.02,2
1644541139.5678523,1,-6.01,7.61,0.76,0.00,0.00,0.00,0.03,-0.03,0.03,1
1644541139.5678523,2,7.00,0.62,6.98,0.00,0.00,0.00,-0.02,0.01,0.01,2
1644541139.5688524,1,-5.97,7.61,0.74,0.00,0.00,0.00,0.04,-0.02,0.03,1
1644541139.5698528,2,6.95,0.65,6.92,0.00,0.00,0.00,-0.02,0.00,0.01,2
1644541139.5708532,1,-5.97,7.61,0.74,0.00,0.00,0.00,0.05,-0.02,0.03,1
1644541139.5708532,2,6.95,0.65,6.92,0.00,0.00,0.00,-0.02,0.00,0.00,2
1644541139.5718534,1,-6.06,7.65,0.74,0.00,0.00,0.00,0.05,-0.02,0.03,1
1644541139.5728536,2,6.92,0.61,6.84,0.00,0.00,0.00,-0.01,0.01,-0.00,2
1644541139.573854,1,-6.15,7.66,0.79,0.00,0.00,0.00,0.03,-0.01,0.02,1
1644541139.573854,2,7.07,0.66,6.93,0.00,0.00,0.00,-0.01,0.02,0.00,2
1644541139.5748541,1,-6.15,7.66,0.79,0.00,0.00,0.00,0.01,-0.01,0.02,1
1644541139.575854,2,7.07,0.66,6.93,0.00,0.00,0.00,-0.01,0.02,0.01,2
1644541139.5768545,1,-6.12,7.70,0.65,0.00,0.00,0.00,-0.00,-0.02,0.01,1
1644541139.5768545,2,7.03,0.68,6.98,0.00,0.00,0.00,-0.02,0.03,0.01,2
1644541139.5778546,1,-6.12,7.70,0.65,0.00,0.00,0.00,-0.01,-0.03,0.00,1
1644541139.5788548,2,7.03,0.68,6.98,0.00,0.00,0.00,-0.03,0.03,0.01,2
1644541139.5788548,1,-6.09,7.67,0.69,0.00,0.00,0.00,0.00,-0.02,-0.00,1
1644541139.5798552,2,6.98,0.69,7.03,0.00,0.00,0.00,-0.02,0.01,0.00,2
1644541139.5808554,1,-6.08,7.63,0.66,0.00,0.00,0.00,0.01,-0.02,-0.00,1
1644541139.5818558,2,7.00,0.62,6.98,0.00,0.00,0.00,-0.03,0.01,-0.01,2
1644541139.5818558,1,-6.08,7.63,0.66,0.00,0.00,0.00,0.02,-0.02,-0.01,1
1644541139.5828557,2,7.00,0.62,6.98,0.00,0.00,0.00,-0.03,-0.00,-0.02,2
1644541139.583856,1,-6.05,7.54,0.69,0.00,0.00,0.00,0.03,-0.01,-0.00,1
1644541139.5848563,2,7.01,0.64,6.91,0.00,0.00,0.00,-0.04,0.01,-0.01,2
1644541139.5848563,1,-6.06,7.54,0.70,0.00,0.00,0.00,0.04,-0.00,-0.00,1
1644541139.5858564,2,7.02,0.64,6.89,0.00,0.00,0.00,-0.01,0.01,-0.01,2
1644541139.5868566,1,-6.06,7.54,0.70,0.00,0.00,0.00,0.04,-0.01,0.00,1
1644541139.587857,2,7.02,0.64,6.89,0.00,0.00,0.00,-0.02,0.02,-0.00,2
1644541139.587857,1,-6.11,7.67,0.66,0.00,0.00,0.00,0.02,-0.02,0.00,1
1644541139.5888572,2,7.05,0.76,7.03,0.00,0.00,0.00,-0.02,0.03,0.01,2
1644541139.5898576,1,-6.11,7.67,0.66,0.00,0.00,0.00,0.01,-0.02,-0.01,1
1644541139.590858,2,7.05,0.76,7.03,0.00,0.00,0.00,-0.02,0.03,0.02,2
1644541139.590858,1,-6.07,7.64,0.75,0.00,0.00,0.00,0.01,-0.01,-0.01,1
1644541139.591858,2,7.08,0.79,7.13,0.00,0.00,0.00,-0.02,0.02,0.01,2
1644541139.592858,1,-6.01,7.57,0.82,0.00,0.00,0.00,0.02,0.01,-0.02,1
1644541139.5938582,2,7.07,0.84,7.12,0.00,0.00,0.00,-0.03,-0.01,-0.01,2
1644541139.5938582,1,-6.01,7.57,0.82,0.00,0.00,0.00,0.03,0.01,-0.03,1
1644541139.5948584,2,7.07,0.84,7.12,0.00,0.00,0.00,-0.03,-0.03,-0.01,2
1644541139.5958593,1,-6.00,7.50,0.73,0.00,0.00,0.00,0.04,0.02,-0.03,1
1644541139.5968592,2,7.05,0.86,6.96,0.00,0.00,0.00,-0.03,-0.04,-0.01,2
1644541139.5968592,1,-6.00,7.50,0.73,0.00,0.00,0.00,0.04,0.02,-0.02,1
1644541139.5978596,2,7.05,0.86,6.96,0.00,0.00,0.00,-0.02,-0.03,-0.00,2
1644541139.5988595,1,-5.91,7.42,0.68,0.00,0.00,0.00,0.04,0.02,-0.02,1
1644541139.5998597,2,7.05,0.77,6.79,0.00,0.00,0.00,-0.01,-0.02,0.01,2
1644541139.5998597,1,-5.94,7.49,0.72,0.00,0.00,0.00,0.03,0.02,0.01,1
1644541139.6008599,2,7.03,0.79,6.81,0.00,0.00,0.00,-0.01,-0.01,0.01,2
1644541139.60186,1,-5.94,7.49,0.72,0.00,0.00,0.00,0.00,0.01,0.02,1
1644541139.6028602,2,7.03,0.79,6.81,0.00,0.00,0.00,-0.01,0.02,0.02,2
1644541139.6028602,1,-6.02,7.50,0.79,0.00,0.00,0.00,-0.03,-0.00,0.02,1
1644541139.6038604,2,6.98,0.68,6.77,0.00,0.00,0.00,-0.01,0.02,0.02,2
1644541139.604861,1,-5.97,7.50,0.71,0.00,0.00,0.00,-0.04,-0.02,0.02,1
1644541139.6058614,2,7.02,0.64,6.96,0.00,0.00,0.00,0.01,0.02,0.02,2
1644541139.6058614,1,-5.97,7.50,0.71,0.00,0.00,0.00,-0.03,-0.00,0.02,1
1644541139.6068614,2,7.02,0.64,6.96,0.00,0.00,0.00,0.00,0.02,0.00,2
1644541139.6078615,1,-6.03,7.67,0.68,0.00,0.00,0.00,-0.02,0.01,0.02,1
1644541139.6078615,2,7.02,0.73,7.02,0.00,0.00,0.00,0.01,0.00,-0.01,2
1644541139.6088617,1,-6.03,7.67,0.68,0.00,0.00,0.00,-0.00,0.01,0.01,1
1644541139.6098619,2,7.02,0.73,7.02,0.00,0.00,0.00,0.01,-0.02,-0.02,2
1644541139.610862,1,-6.05,7.61,0.71,0.00,0.00,0.00,0.00,0.02,0.00,1
1644541139.610862,2,6.98,0.80,6.95,0.00,0.00,0.00,0.01,-0.03,-0.02,2
1644541139.6118622,1,-5.97,7.57,0.73,0.00,0.00,0.00,0.01,0.02,0.00,1
1644541139.6128628,2,7.02,0.82,6.89,0.00,0.00,0.00,0.01,-0.02,-0.01,2
1644541139.613863,1,-5.97,7.57,0.73,0.00,0.00,0.00,0.02,0.02,0.01,1
1644541139.613863,2,7.02,0.82,6.89,0.00,0.00,0.00,0.00,-0.01,-0.00,2
1644541139.6148632,1,-6.03,7.48,0.78,0.00,0.00,0.00,0.01,0.02,0.01,1
1644541139.6158636,2,7.01,0.76,6.96,0.00,0.00,0.00,-0.01,0.00,-0.00,2
1644541139.6168635,1,-6.05,7.56,0.82,0.00,0.00,0.00,-0.01,0.03,0.03,1
1644541139.6168635,2,7.01,0.71,6.94,0.00,0.00,0.00,-0.01,0.01,0.00,2
1644541139.617864,1,-6.05,7.56,0.82,0.00,0.00,0.00,-0.03,0.02,0.02,1
1644541139.618864,2,7.01,0.71,6.94,0.00,0.00,0.00,-0.01,0.00,0.00,2
1644541139.6198642,1,-6.07,7.54,0.64,0.00,0.00,0.00,-0.04,0.01,0.02,1
1644541139.6198642,2,6.94,0.72,6.90,0.00,0.00,0.00,0.02,-0.00,-0.01,2
1644541139.6208646,1,-6.07,7.54,0.64,0.00,0.00,0.00,-0.03,0.01,0.02,1
1644541139.621865,2,6.94,0.72,6.90,0.00,0.00,0.00,0.02,-0.00,-0.02,2
1644541139.622865,1,-6.06,7.62,0.68,0.00,0.00,0.00,-0.01,0.01,0.02,1
1644541139.622865,2,6.95,0.82,6.98,0.00,0.00,0.00,0.02,0.00,-0.01,2
1644541139.6238651,1,-6.07,7.57,0.68,0.00,0.00,0.00,-0.00,0.01,0.01,1
1644541139.6248653,2,6.98,0.79,6.97,0.00,0.00,0.00,0.02,0.00,-0.01,2
1644541139.6258657,1,-6.07,7.57,0.68,0.00,0.00,0.00,-0.01,0.01,0.01,1
1644541139.6258657,2,6.98,0.79,6.97,0.00,0.00,0.00,0.00,0.00,-0.00,2
1644541139.6268659,1,-6.07,7.59,0.75,0.00,0.00,0.00,-0.02,0.01,0.01,1
1644541139.627866,2,6.91,0.73,6.93,0.00,0.00,0.00,-0.00,0.01,-0.01,2
1644541139.6288662,1,-6.07,7.59,0.75,0.00,0.00,0.00,-0.01,0.01,-0.00,1
1644541139.6288662,2,6.91,0.73,6.93,0.00,0.00,0.00,-0.01,0.01,-0.01,2
1644541139.6298666,1,-6.06,7.61,0.75,0.00,0.00,0.00,-0.01,0.01,0.01,1
1644541139.6308668,2,6.94,0.68,6.94,0.00,0.00,0.00,0.01,0.01,-0.01,2
1644541139.631867,1,-6.06,7.55,0.73,0.00,0.00,0.00,-0.01,0.01,0.01,1
1644541139.631867,2,6.99,0.70,6.86,0.00,0.00,0.00,0.01,0.01,-0.01,2
1644541139.632867,1,-6.06,7.55,0.73,0.00,0.00,0.00,-0.01,0.02,0.01,1
1644541139.6338675,2,6.99,0.70,6.86,0.00,0.00,0.00,0.01,0.02,-0.01,2
1644541139.6348674,1,-5.93,7.51,0.71,0.00,0.00,0.00,-0.01,0.02,0.01,1
1644541139.6348674,2,6.95,0.70,6.88,0.00,0.00,0.00,0.01,0.03,-0.01,2
1644541139.6358678,1,-5.98,7.46,0.76,0.00,0.00,0.00,-0.01,0.02,0.02,1
1644541139.636868,2,6.98,0.79,6.99,0.00,0.00,0.00,0.01,0.03,-0.01,2
1644541139.6378684,1,-5.98,7.46,0.76,0.00,0.00,0.00,0.00,0.04,0.02,1
1644541139.6378684,2,6.98,0.79,6.99,0.00,0.00,0.00,0.01,0.04,-0.02,2
1644541139.6388686,1,-6.02,7.49,0.73,0.00,0.00,0.00,0.00,0.04,0.03,1
1644541139.639869,2,7.07,0.69,6.98,0.00,0.00,0.00,0.02,0.03,-0.02,2
1644541139.6408691,1,-6.02,7.49,0.73,0.00,0.00,0.00,-0.00,0.03,0.03,1
1644541139.6408691,2,7.07,0.69,6.98,0.00,0.00,0.00,0.02,0.03,-0.02,2
1644541139.6418693,1,-6.09,7.60,0.70,0.00,0.00,0.00,-0.03,0.02,0.03,1
1644541139.6428695,2,6.99,0.68,7.10,0.00,0.00,0.00,0.02,0.02,-0.03,2
1644541139.6438696,1,-6.00,7.64,0.65,0.00,0.00,0.00,-0.04,0.00,0.02,1
1644541139.6438696,2,7.02,0.59,7.12,0.00,0.00,0.00,0.01,0.01,-0.03,2
1644541139.6448698,1,-6.00,7.64,0.65,0.00,0.00,0.00,-0.03,0.01,0.02,1
1644541139.6458704,2,7.02,0.59,7.12,0.00,0.00,0.00,0.02,0.00,-0.03,2
1644541139.6468704,1,-6.04,7.62,0.63,0.00,0.00,0.00,-0.01,0.02,0.02,1
1644541139.6468704,2,7.05,0.77,7.11,0.00,0.00,0.00,-0.00,0.00,-0.03,2
1644541139.6478708,1,-6.02,7.65,0.64,0.00,0.00,0.00,-0.01,0.02,0.01,1
1644541139.6488707,2,7.05,0.77,7.11,0.00,0.00,0.00,-0.01,0.01,-0.02,2
1644541139.649871,1,-6.02,7.65,0.64,0.00,0.00,0.00,0.00,0.03,0.02,1
1644541139.649871,2,7.05,0.79,7.01,0.00,0.00,0.00,-0.00,-0.01,-0.02,2
1644541139.6508713,1,-6.02,7.51,0.67,0.00,0.00,0.00,0.01,0.03,0.02,1
1644541139.6518714,2,7.05,0.82,6.87,0.00,0.00,0.00,0.01,0.00,-0.01,2
1644541139.6528716,1,-6.02,7.51,0.67,0.00,0.00,0.00,0.01,0.03,0.02,1
1644541139.653872,2,7.05,0.82,6.87,0.00,0.00,0.00,0.01,0.01,-0.00,2
1644541139.653872,1,-5.98,7.54,0.74,0.00,0.00,0.00,0.02,0.03,0.03,1
1644541139.6548722,2,7.12,0.76,6.87,0.00,0.00,0.00,0.01,0.03,0.00,2
1644541139.6558723,1,-6.02,7.58,0.75,0.00,0.00,0.00,-0.01,0.03,0.04,1
1644541139.6568723,2,7.02,0.66,7.00,0.00,0.00,0.00,0.00,0.05,0.01,2
1644541139.6568723,1,-6.02,7.58,0.75,0.00,0.00,0.00,-0.03,0.03,0.03,1
1644541139.657873,2,7.02,0.66,7.00,0.00,0.00,0.00,0.01,0.04,0.01,2
1644541139.658873,1,-6.08,7.69,0.68,0.00,0.00,0.00,-0.03,0.02,0.03,1
1644541139.6598732,2,7.02,0.63,7.07,0.00,0.00,0.00,0.01,0.04,0.00,2
1644541139.6598732,1,-6.08,7.69,0.68,0.00,0.00,0.00,-0.02,0.01,0.02,1
1644541139.6608734,2,7.02,0.63,7.07,0.00,0.00,0.00,0.00,0.00,-0.01,2
1644541139.6618736,1,-6.01,7.71,0.70,0.00,0.00,0.00,-0.03,0.01,0.01,1
1644541139.6628742,2,7.00,0.70,7.11,0.00,0.00,0.00,0.01,-0.02,-0.02,2
1644541139.6628742,1,-6.02,7.64,0.68,0.00,0.00,0.00,-0.00,0.02,-0.00,1
1644541139.6638744,2,7.04,0.80,7.00,0.00,0.00,0.00,0.01,-0.03,-0.02,2
1644541139.664875,1,-6.02,7.64,0.68,0.00,0.00,0.00,-0.00,0.02,-0.00,1
1644541139.665875,2,7.04,0.80,7.00,0.00,0.00,0.00,0.00,-0.03,-0.02,2
1644541139.665875,1,-6.02,7.48,0.68,0.00,0.00,0.00,0.01,0.03,0.00,1
1644541139.6668756,2,7.02,0.89,6.93,0.00,0.00,0.00,0.01,-0.02,-0.01,2
