Timestamp,Sensor_id_s,ax,ay,az,mx,my,mz,gx,gy,gz,Sensor_id_e
1644541129.9148142,1,-0.57,2.38,9.04,0.00,0.00,0.00,0.18,-0.46,0.12,1
1644541129.9158144,2,1.28,-0.58,10.20,0.00,0.00,0.00,0.00,0.00,0.00,2
1644541129.9168148,1,-0.57,2.38,9.04,0.00,0.00,0.00,0.26,-0.37,0.11,1
1644541129.9178147,2,1.28,-0.58,10.20,0.00,0.00,0.00,0.02,-0.07,0.07,2
1644541129.9178147,1,-0.87,2.76,9.28,0.00,0.00,0.00,0.71,0.10,0.00,1
1644541129.9188151,2,1.21,-0.54,9.99,0.00,0.00,0.00,0.06,-0.11,0.09,2
1644541129.919815,1,-1.07,2.90,9.24,0.00,0.00,0.00,0.81,0.10,-0.02,1
1644541129.9208155,2,1.15,-0.42,10.17,0.00,0.00,0.00,0.15,-0.14,0.05,2
1644541129.9208155,1,-1.07,2.90,9.24,0.00,0.00,0.00,0.87,0.02,-0.08,1
1644541129.9218159,2,1.15,-0.42,10.17,0.00,0.00,0.00,0.16,-0.19,0.03,2
1644541129.922816,1,-1.29,3.06,8.93,0.00,0.00,0.00,0.92,-0.11,-0.14,1
1644541129.923816,2,1.24,-0.21,10.30,0.00,0.00,0.00,0.18,-0.22,0.02,2
1644541129.9248164,1,-1.29,3.06,8.93,0.00,0.00,0.00,0.92,-0.14,-0.15,1
1644541129.9248164,2,1.24,-0.21,10.30,0.00,0.00,0.00,0.19,-0.26,-0.00,2
1644541129.9258165,1,-0.98,3.10,8.98,0.00,0.00,0.00,0.92,-0.26,-0.25,1
1644541129.926817,2,1.10,0.19,10.20,0.00,0.00,0.00,0.12,-0.25,-0.04,2
1644541129.9278169,1,-0.44,3.28,8.90,0.00,0.00,0.00,0.90,-0.14,-0.28,1
1644541129.9278169,2,1.23,0.06,9.75,0.00,0.00,0.00,-0.05,-0.12,-0.10,2
1644541129.9288175,1,-0.44,3.28,8.90,0.00,0.00,0.00,0.82,-0.08,-0.26,1
1644541129.9298174,2,1.23,0.06,9.75,0.00,0.00,0.00,-0.03,-0.01,-0.08,2
1644541129.9308178,1,-0.57,3.42,8.92,0.00,0.00,0.00,0.67,-0.11,-0.22,1
1644541129.9308178,2,1.61,-0.07,9.53,0.00,0.00,0.00,-0.03,0.05,-0.00,2
1644541129.931818,1,-0.51,3.48,8.92,0.00,0.00,0.00,0.49,-0.22,-0.17,1
1644541129.932818,2,1.52,0.11,9.63,0.00,0.00,0.00,-0.03,0.14,0.09,2
1644541129.9338183,1,-0.51,3.48,8.92,0.00,0.00,0.00,0.28,-0.32,-0.14,1
1644541129.9338183,2,1.52,0.11,9.63,0.00,0.00,0.00,-0.03,0.18,0.14,2
1644541129.9348187,1,-0.56,3.33,8.89,0.00,0.00,0.00,0.12,-0.38,-0.13,1
1644541129.935819,2,1.25,-0.06,9.80,0.00,0.00,0.00,-0.04,0.15,0.18,2
1644541129.9368196,1,-0.56,3.33,8.89,0.00,0.00,0.00,0.08,-0.43,-0.13,1
1644541129.9368196,2,1.25,-0.06,9.80,0.00,0.00,0.00,0.05,0.07,0.19,2
1644541129.9378195,1,-0.69,3.28,8.87,0.00,0.00,0.00,0.12,-0.47,-0.14,1
1644541129.93882,2,1.39,-0.44,9.83,0.00,0.00,0.00,0.18,0.02,0.20,2
1644541129.9398198,1,-0.38,3.28,8.80,0.00,0.00,0.00,0.20,-0.42,-0.15,1
1644541129.9398198,2,1.00,-0.37,10.32,0.00,0.00,0.00,0.26,-0.05,0.18,2
1644541129.9408202,1,-0.38,3.28,8.80,0.00,0.00,0.00,0.34,-0.32,-0.17,1
1644541129.9418204,2,1.00,-0.37,10.32,0.00,0.00,0.00,0.29,-0.13,0.12,2
1644541129.9428205,1,-0.37,3.17,9.24,0.00,0.00,0.00,0.51,-0.21,-0.19,1
1644541129.9438207,2,0.91,-0.28,10.41,0.00,0.00,0.00,0.27,-0.16,0.04,2
1644541129.9438207,1,-0.33,3.26,9.47,0.00,0.00,0.00,0.60,-0.10,-0.17,1
1644541129.944821,2,1.16,-0.36,10.28,0.00,0.00,0.00,0.20,-0.14,-0.04,2
1644541129.9458213,1,-0.33,3.26,9.47,0.00,0.00,0.00,0.61,-0.03,-0.12,1
1644541129.9468217,2,1.16,-0.36,10.28,0.00,0.00,0.00,0.16,-0.12,-0.01,2
1644541129.9468217,1,-0.54,3.44,9.59,0.00,0.00,0.00,0.55,-0.00,-0.07,1
